track_title,artists,popularity,uri,duration
Rapture,"['Alok', 'Daniel Blume']",26,spotify:track:0vyOnxhF0xymBvKotSLSfA,166451
Maybe,['Moonshine'],26,spotify:track:4ujTBRGqt4obwIqcbK5ZHb,166890
Taking Over,['Scott Rill'],41,spotify:track:3CzQTFCcSJHoWWMfQCUSsb,156161
Dancing In The Dark,['Ilkay Sencan'],37,spotify:track:0SxQ285CrPeOtaF0BYxzS0,139255
Remedy (feat. TS Graye),"['Dimension', 'TS Graye']",46,spotify:track:4BYpm1zHvGOxkJAvgfutqg,200689
Like 2 Go,"['REZarin', 'Jordan Rys']",20,spotify:track:0umCTbE2DPAfLmYaQazRDF,140300
Tunnel,"['Polo & Pan', 'Channel Tres']",54,spotify:track:4at0npP4QkdIUulFZIsYft,310573
Again,['Keanu Silva'],54,spotify:track:16HrOASfb75oNM5AcQV9Fh,142000
AMNESIA (feat. Boy In Space),"['DREAMDNVR', 'Boy In Space']",47,spotify:track:1UyDQh3HBJwL6IxR9mXipZ,175826
Rather Be - OKEY Remix,"['Rat City', 'Isak Heim', 'OKEY']",44,spotify:track:2i7WlG3qtKqJgHvCXDJwU4,213054
U - 2017,"['ellis', 'Nu Aspect']",27,spotify:track:18TupKIJplXugztXCYH3NL,248000
I Don't Wanna Go,['Tujamo'],48,spotify:track:5RQmbhnkrt6llPrxqRsym4,186480
Crush,['AVIAN GRAYS'],37,spotify:track:7cwxPJFsSv8uZjt9R82P1l,200163
Ocean,"['Sick Individuals', 'Justin Prime', 'Lasada']",25,spotify:track:34hAsUkD3fBLUMqH5m3tKC,161280
Touch,['Amber Van Day'],40,spotify:track:0Pebpt5NlciT4arOfAEgvB,178810
Dancin' to Forget,"['SICKOTOY', 'RANDI']",47,spotify:track:0UZdiNQhXzBiHhs6lxA9w4,148329
Bad Option,"['Bougenvilla', 'Mairee', 'Nathalie Blue']",31,spotify:track:4FhbcLIYba5zi9iYTcj8hp,166461
