danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature
0.677,0.631,3,-6.876,0,0.0603,0.168,0.216,0.0842,0.543,123.999,spotify:track:0vyOnxhF0xymBvKotSLSfA,166452,4
0.765,0.745,5,-7.06,1,0.0515,0.221,0.00012,0.158,0.682,118.984,spotify:track:4ujTBRGqt4obwIqcbK5ZHb,166891,4
0.819,0.844,7,-5.123,1,0.071,0.0131,0.00633,0.111,0.372,119.934,spotify:track:3CzQTFCcSJHoWWMfQCUSsb,156161,4
0.72,0.8,10,-6.117,0,0.148,0.262,0.0,0.133,0.572,121.966,spotify:track:0SxQ285CrPeOtaF0BYxzS0,139256,4
0.514,0.962,7,-1.633,0,0.0545,0.207,0.00597,0.0756,0.341,174.007,spotify:track:4BYpm1zHvGOxkJAvgfutqg,200690,4
0.72,0.788,9,-5.901,0,0.0372,0.13,5.19e-06,0.0838,0.456,125.983,spotify:track:0umCTbE2DPAfLmYaQazRDF,140301,4
0.73,0.505,2,-9.248,1,0.0606,0.119,0.711,0.148,0.38,119.995,spotify:track:4at0npP4QkdIUulFZIsYft,310573,4
0.767,0.787,5,-5.603,0,0.0415,0.123,0.000447,0.425,0.464,124.012,spotify:track:16HrOASfb75oNM5AcQV9Fh,142000,4
0.708,0.42,9,-9.478,0,0.121,0.471,0.0,0.353,0.317,145.981,spotify:track:1UyDQh3HBJwL6IxR9mXipZ,175827,4
0.735,0.9,10,-4.098,0,0.0429,0.29,0.0,0.117,0.771,122.035,spotify:track:2i7WlG3qtKqJgHvCXDJwU4,213055,4
0.703,0.844,2,-5.869,0,0.0786,0.0781,0.177,0.112,0.337,121.936,spotify:track:18TupKIJplXugztXCYH3NL,248000,4
0.641,0.895,1,-3.76,0,0.168,0.0256,0.000299,0.292,0.397,125.031,spotify:track:5RQmbhnkrt6llPrxqRsym4,186480,4
0.726,0.803,11,-4.283,1,0.0339,0.0576,0.0,0.288,0.695,121.972,spotify:track:7cwxPJFsSv8uZjt9R82P1l,200164,4
0.644,0.945,11,-2.784,0,0.0461,0.0111,0.164,0.191,0.446,125.025,spotify:track:34hAsUkD3fBLUMqH5m3tKC,161280,4
0.652,0.925,3,-4.147,0,0.0469,0.0703,1.22e-05,0.092,0.411,123.837,spotify:track:0Pebpt5NlciT4arOfAEgvB,178810,4
0.764,0.639,11,-7.078,0,0.0693,0.38,1.81e-06,0.0959,0.736,120.139,spotify:track:0UZdiNQhXzBiHhs6lxA9w4,148329,4
0.514,0.92,8,-3.918,1,0.0585,0.191,1.33e-05,0.14,0.518,123.437,spotify:track:4FhbcLIYba5zi9iYTcj8hp,166462,4
0.69,0.908,2,-3.588,0,0.0399,0.00301,0.0056,0.165,0.397,123.982,spotify:track:20Nj5d5LxOcja9a8JlU6Yi,159928,4
0.709,0.528,0,-11.127,0,0.0407,0.0458,0.896,0.128,0.113,124.027,spotify:track:7CuXB3Dr61IvDFEWfqG3sE,216700,4
0.689,0.762,0,-6.59,1,0.0987,0.0202,1.27e-06,0.163,0.348,122.01,spotify:track:6SGrxiwzBMXdH02vDhKJvr,185349,4
0.806,0.43,10,-13.023,0,0.0439,0.143,0.896,0.106,0.532,122.018,spotify:track:4YlPfwx8aqehj7eSAhtS23,293901,4
0.871,0.677,7,-7.455,0,0.0432,0.00104,0.863,0.346,0.457,123.992,spotify:track:4WVuuNGFq9CusXUdaviYPd,374274,4
0.829,0.553,5,-7.848,0,0.0645,0.0254,0.223,0.0452,0.649,119.994,spotify:track:2VIqtXdmYXXmeErgJSwfv0,260000,4
0.764,0.706,2,-8.923,0,0.0346,0.00674,1.21e-05,0.165,0.49,117.984,spotify:track:7s7fQAOrqVEI65zEuPYyEQ,197293,4
0.638,0.83,5,-6.207,0,0.0343,0.155,0.0999,0.0713,0.26,124.004,spotify:track:4SEk1AnKCF5UrtVKeoiINn,267349,4
0.592,0.898,10,-1.855,1,0.0456,0.0255,0.00223,0.703,0.374,123.124,spotify:track:0e1q6FXRsGMdBgOe4qLHXe,152683,4
0.694,0.704,2,-6.101,0,0.13,0.015,2.39e-05,0.0931,0.377,122.984,spotify:track:2FIa0Zmilui8GpApF3vF1a,167822,4
0.668,0.603,1,-7.201,0,0.103,0.0766,0.0368,0.54,0.525,126.016,spotify:track:5ym3bCHNv6OoDuQ96lNu3y,173810,4
0.665,0.757,7,-9.104,0,0.0582,0.0141,6.39e-05,0.193,0.13,124.005,spotify:track:3oKQA0qsKU9tVJiwbTYRvG,158710,4
0.665,0.822,5,-4.943,1,0.0323,0.0475,0.00632,0.171,0.323,122.028,spotify:track:2bdLxKhTVNI8eBrzWd8fvg,169180,4
0.669,0.784,7,-5.603,1,0.112,0.194,6.28e-06,0.115,0.517,125.993,spotify:track:4SL2iWHt3azgITI04G5NpY,150053,4
0.679,0.683,11,-7.739,0,0.112,0.0219,0.0,0.182,0.287,123.064,spotify:track:6oCdAXZVWCaGfHlhRidpAM,157805,4
0.557,0.749,6,-7.347,0,0.241,0.0107,0.0239,0.163,0.429,131.897,spotify:track:1Ti8fzGVo4LC8ZN9vO8rt5,134567,4
0.657,0.78,10,-6.775,0,0.282,0.248,4.7e-06,0.29,0.35,123.928,spotify:track:2mSlEpkzdxgy104oMIAnNa,160774,4
0.687,0.768,1,-5.52,1,0.0286,0.00168,0.852,0.318,0.44,119.985,spotify:track:3YXPVCTAKjlcDJdkGAsdXT,156822,4
0.675,0.603,5,-5.48,0,0.0877,0.0655,0.0,0.0848,0.539,119.942,spotify:track:33Ocu2Nv1ZbhZq4RO89lnI,173645,4
0.942,0.8,7,-4.197,1,0.242,0.0493,0.0148,0.389,0.738,114.033,spotify:track:4ngG4WIro4A1ThR5V899al,172632,4
0.821,0.671,1,-8.13,1,0.27,0.117,0.0,0.261,0.807,128.078,spotify:track:2Nt3VdNRFMkDfloEzXywGn,136992,4
0.608,0.652,6,-9.596,0,0.0928,0.315,0.0,0.114,0.69,92.634,spotify:track:2C5E0gTVaMMY9G6l0i012s,202378,4
0.785,0.457,0,-8.748,0,0.248,0.539,0.422,0.122,0.34,135.007,spotify:track:3Y29Yb5zLWpPuqfallD0xU,117342,4
0.66,0.532,5,-9.474,0,0.0532,0.0377,0.829,0.116,0.199,127.984,spotify:track:68LQ7Jr1NXb1jhBYht1Vu6,213330,4
0.553,0.94,5,-2.265,0,0.032,0.0377,0.00497,0.154,0.285,158.004,spotify:track:6Dcya3tdqOogPdP0xtAUv5,195973,4
0.781,0.618,5,-5.633,1,0.0602,0.0798,0.000872,0.233,0.165,106.004,spotify:track:67IMCpgkdCyxY7xR6ebScp,159661,4
0.688,0.82,6,-3.142,0,0.0502,0.38,0.0482,0.16,0.554,99.955,spotify:track:4ZAhtinilXoVApmfoFrIdU,169186,4
0.814,0.874,6,-5.316,1,0.0425,0.000222,0.522,0.276,0.434,123.992,spotify:track:1olCzMxaeiQKNO64ssWVGr,161041,4
0.486,0.66,2,-6.874,0,0.0433,0.00871,7.03e-05,0.507,0.106,128.053,spotify:track:2hX67j8q6zxAju34S2wYC3,218438,4
0.846,0.831,1,-4.939,1,0.0439,0.006,4.48e-05,0.247,0.38,120.01,spotify:track:3xMDSbzOh0XHsPH6bQl5BN,148000,4
0.463,0.523,0,-5.667,1,0.0518,0.0885,0.00418,0.115,0.171,135.912,spotify:track:0cR04cbujsPTTyKUazySY0,255579,3
0.679,0.697,5,-5.56,0,0.106,0.0787,0.000283,0.138,0.536,158.054,spotify:track:0q2gvD5W0dCBTGPWPxOqFi,189557,4
0.734,0.725,7,-5.59,1,0.124,0.015,9e-05,0.116,0.344,99.997,spotify:track:0rmRlfclpLJmhdJCNsIrvF,206841,4
