,track_title,artists,popularity,uri,duration,added_by,added_at
1,Your Body,"['Bluckther', 'Martin Trevy']",29,spotify:track:7JiBmwjEv3ZjqwNExcQo5D,149508,,1970-01-01T00:00:00Z
2,Take Care Of You,"['REZarin', 'Joey Busse', 'Cubfonic']",32,spotify:track:2fCoorR4NXH4dMeJ8vtD1C,141486,,1970-01-01T00:00:00Z
3,Bleeding,"['Raven Link', 'Vin Bogart']",39,spotify:track:7CgidF5NeRoSTW0snrwCP3,180737,,1970-01-01T00:00:00Z
4,How Does it Feel,"['DLMT', 'ellis', 'AWR']",31,spotify:track:1jue7k91j4oP3MaQRbGqgZ,217638,,1970-01-01T00:00:00Z
5,Radio Silence (KVMO Remix),"['Snugs', 'Kvmo']",34,spotify:track:2AvTZ794Plk2dgGaVCgwGj,174782,,1970-01-01T00:00:00Z
6,Get To Me,"['Pyro', 'Fiko']",34,spotify:track:1OaLdxiB285eEOUsF0ivP5,166504,,1970-01-01T00:00:00Z
7,Eyes,"['MNI', 'Jordan Shaw']",42,spotify:track:2cVQVhgyRPzJusXAuklkWF,167380,,1970-01-01T00:00:00Z
8,Real Love,"['Dillon Francis', 'Aleyna Tilki']",59,spotify:track:4Juaa2ppIOYcSWbrVtcrNp,135265,,1970-01-01T00:00:00Z
9,Lay Me Down,"['Ranji', 'Ghost Rider', 'Berg']",51,spotify:track:3GKN5PYjlS7baPtrbdLtev,210652,,1970-01-01T00:00:00Z
10,Ocean - Maybon Remix,"['Elsa & Emilie', 'Maybon']",35,spotify:track:6U2rUJ0JpRNj81ZpNQ5taW,182811,,1970-01-01T00:00:00Z
11,Nothing Hurts (Kean Dysso Remix),"['Minelli', 'KEAN DYSSO']",21,spotify:track:4FsxiNcEvMBFDkw6PkzI89,173637,,1970-01-01T00:00:00Z
12,Light It Up,['The Kudu'],32,spotify:track:3LPGV4Ljx71mA0J9UR2GwN,200976,,1970-01-01T00:00:00Z
13,A Little Bit of Faith,"['MOGUAI', 'Graham Candy', 'MY PARADE']",36,spotify:track:3AnCxW4JAndjVO7Uj1Onzi,182363,,1970-01-01T00:00:00Z
14,Play That Track,"['Blinded Hearts', 'Lucifer']",45,spotify:track:6OPQw3E008UIy26o1QwMoT,152548,,1970-01-01T00:00:00Z
15,In My Heart,['AMARI'],34,spotify:track:1SYU9IEocicolaiXsUx7Fr,191676,,1970-01-01T00:00:00Z
16,Dans På Bordet,"['Ballinciaga', 'David Mokel']",61,spotify:track:56kyGGwLIVAR30ZFiASn8Q,143520,,1970-01-01T00:00:00Z
17,Heat Waves,['Glass Animals'],83,spotify:track:02MWAaffLxlfxAUY7c5dvx,238805,,1970-01-01T00:00:00Z
18,Sex with You,"['Wahlstedt', 'AMAANDA']",27,spotify:track:04qrVtScdD4IBGSL5q6yEv,205090,,1970-01-01T00:00:00Z
19,Why Do You Lie To Me (feat. Lil Baby) - Besomorph Remix,"['Topic', 'A7S', 'Lil Baby', 'Besomorph']",30,spotify:track:6B7maLavnTIWoF5Tfqx7AJ,158000,,1970-01-01T00:00:00Z
20,TANTE,"['Kevin Lauren', 'Ballinciaga']",52,spotify:track:56oWBEoaWwiyaPLe0PqB0k,133714,,1970-01-01T00:00:00Z
21,22s,"['KOKO', 'Nina Chuba', 'Dillistone']",45,spotify:track:4sZpKcU8D7wYjhnRI7tCi9,185825,,1970-01-01T00:00:00Z
22,Don't Get To Love,"['Nevada', 'Brooke Williams']",30,spotify:track:4Y3GAUYfDbmKDdyYsiCeZE,175500,,1970-01-01T00:00:00Z
23,Friends Say,"['Keepin It Heale', 'Michael Walls']",36,spotify:track:7JOPoz6ZrucVRm2KMq1H1P,151680,,1970-01-01T00:00:00Z
24,Close to Me,['Kitness'],37,spotify:track:3TxmI2wCPeVWCu1Qkp2BLS,163014,,1970-01-01T00:00:00Z
25,Identical (feat. Yeah Boy),"['Next Habit', 'Yeah Boy']",32,spotify:track:6mxVX85uHiirpiJBlPpsuf,166828,,1970-01-01T00:00:00Z
26,Someone You Loved,"['Kesh', 'Gab Hydes', 'NEVRMIND']",32,spotify:track:4DMHUisnhnsIIcqAf9CNRc,176111,,1970-01-01T00:00:00Z
27,Still Young (Ft. Oly),"['Rain Man', 'Oly']",33,spotify:track:5idOxv0TdMTauEJCvFlCV0,189818,,1970-01-01T00:00:00Z
