,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature
1,0.714,0.902,5,-5.651,0,0.0488,0.129,0.000389,0.0994,0.12,122.038,spotify:track:7JiBmwjEv3ZjqwNExcQo5D,149508,4
2,0.743,0.718,7,-5.92,0,0.0388,0.178,0.000631,0.117,0.557,125.964,spotify:track:2fCoorR4NXH4dMeJ8vtD1C,141486,4
3,0.482,0.609,5,-9.46,0,0.0481,0.0252,0.0983,0.0981,0.299,165.931,spotify:track:7CgidF5NeRoSTW0snrwCP3,180738,4
4,0.85,0.711,7,-4.492,0,0.0497,0.154,9.66e-05,0.088,0.394,125.998,spotify:track:1jue7k91j4oP3MaQRbGqgZ,217639,4
5,0.636,0.829,6,-4.127,0,0.0375,0.0167,4.61e-05,0.258,0.135,92.023,spotify:track:2AvTZ794Plk2dgGaVCgwGj,174783,4
6,0.671,0.687,11,-5.576,0,0.132,0.731,0.213,0.046,0.254,120.256,spotify:track:1OaLdxiB285eEOUsF0ivP5,166504,4
7,0.839,0.804,5,-4.882,0,0.0877,0.136,0.000104,0.187,0.619,120.077,spotify:track:2cVQVhgyRPzJusXAuklkWF,167381,4
8,0.549,0.793,10,-4.313,0,0.104,0.0496,7.7e-05,0.0522,0.541,123.893,spotify:track:4Juaa2ppIOYcSWbrVtcrNp,135266,4
9,0.758,0.68,6,-7.685,0,0.0808,0.199,0.184,0.243,0.127,138.079,spotify:track:3GKN5PYjlS7baPtrbdLtev,210652,4
10,0.711,0.76,8,-8.354,0,0.0745,0.396,0.345,0.12,0.326,126.012,spotify:track:6U2rUJ0JpRNj81ZpNQ5taW,182811,4
11,0.612,0.82,9,-6.174,0,0.405,0.00259,1.34e-05,0.0914,0.284,122.114,spotify:track:4FsxiNcEvMBFDkw6PkzI89,173637,4
12,0.614,0.818,7,-4.282,0,0.0883,0.0494,0.0,0.647,0.383,127.958,spotify:track:3LPGV4Ljx71mA0J9UR2GwN,200977,4
13,0.791,0.769,3,-4.035,0,0.0516,0.553,0.0,0.073,0.481,120.981,spotify:track:3AnCxW4JAndjVO7Uj1Onzi,182364,4
14,0.744,0.907,5,-4.825,0,0.0445,0.00588,0.0,0.134,0.47,122.987,spotify:track:6OPQw3E008UIy26o1QwMoT,152549,4
15,0.747,0.829,7,-6.156,0,0.0666,0.0636,0.000181,0.37,0.165,126.019,spotify:track:1SYU9IEocicolaiXsUx7Fr,191677,4
16,0.867,0.699,8,-3.436,0,0.0554,0.15,0.0103,0.165,0.81,125.023,spotify:track:56kyGGwLIVAR30ZFiASn8Q,143520,4
17,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,spotify:track:02MWAaffLxlfxAUY7c5dvx,238805,4
18,0.565,0.553,3,-4.253,0,0.105,0.164,3.92e-05,0.0908,0.67,146.67,spotify:track:04qrVtScdD4IBGSL5q6yEv,205091,5
19,0.587,0.755,2,-6.865,1,0.0751,0.0219,0.0,0.421,0.0657,126.072,spotify:track:6B7maLavnTIWoF5Tfqx7AJ,158000,4
20,0.782,0.836,4,-6.136,0,0.167,0.0494,0.00134,0.235,0.678,139.986,spotify:track:56oWBEoaWwiyaPLe0PqB0k,133714,4
