,track_title,artists,popularity,uri,duration,added_by,added_at
0,Klikk,['UNDERGRUNN'],59,spotify:track:660mpcWbLmQ8lH5Mq59Wfk,154762,,2023-03-15T10:25:03Z
1,Flowers,['Miley Cyrus'],77,spotify:track:4DHcnVTT87F0zZhRPYmZ3B,200600,,2023-03-15T10:25:03Z
2,Floden,"['Emma Steinbakken', 'Hver gang vi møtes']",70,spotify:track:6TYFXyFTDZ6qwFPuBJfWpK,212962,,2023-03-15T10:25:03Z
3,Delilah,"['Emma Steinbakken', 'Hver gang vi møtes']",68,spotify:track:5WnH3XfHwtR7KH7KfVUDqe,158101,,2023-03-15T10:25:03Z
4,Tattoo,['Loreen'],78,spotify:track:1DmW5Ep6ywYwxc2HMT5BG6,183374,,2023-03-15T10:25:03Z
5,Queen of Kings,['Alessandra'],77,spotify:track:14LdhxElpZS0rKVV4nxtdA,147979,,2023-03-15T10:25:03Z
6,tjueto (demo),['Ramón'],55,spotify:track:7kSxVn8HvKeHwW3o7W0M2S,111770,,2023-03-15T10:25:03Z
7,Die For You (with Ariana Grande) - Remix,"['The Weeknd', 'Ariana Grande']",33,spotify:track:4W4fNrZYkobj539TOWsLO2,232857,,2023-03-15T10:25:03Z
8,Mysteriet deg,"['Isah', 'Emma Steinbakken', 'Hver gang vi møtes']",63,spotify:track:206hc217vGSSv4W6d3FF3R,221052,,2023-03-15T10:25:03Z
9,Seriøs (feat. Amara),"['Roc Boyz', 'Amara']",59,spotify:track:1sEYjmfPxDMS0tRxEqbWTy,156774,,2023-03-15T10:25:03Z
10,Best på fest,['Carina Dahl'],60,spotify:track:3qeetNg8dmL3KwYXT9R7wT,160868,,2023-03-15T10:25:03Z
11,En Shot,['Ballinciaga'],65,spotify:track:3mrOghCXTH1wg1JliCHenY,144375,,2023-03-15T10:25:03Z
12,Can't Tame Her,['Zara Larsson'],77,spotify:track:4vOoQh9MhS9pyrbvc8LyMz,196939,,2023-03-15T10:25:03Z
13,ceilings,['Lizzy McAlpine'],88,spotify:track:2L9N0zZnd37dwF0clgxMGI,182887,,2023-03-15T10:25:03Z
14,Kill Bill,['SZA'],93,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,153946,,2023-03-15T10:25:03Z
15,Alt du vil ha,"['Isah', 'Maria Mena', 'Hver gang vi møtes']",66,spotify:track:7GZ0lQasbKSKie0I1Bv7Vd,181555,,2023-03-15T10:25:03Z
16,I'm Good (Blue),"['David Guetta', 'Bebe Rexha']",93,spotify:track:4uUG5RXrOk84mYEfFvj3cK,175238,,2023-03-15T10:25:03Z
17,Dumme Kids,"['Ballinciaga', '1.Cuz']",59,spotify:track:3dqO8BBh0wWxW5OCVRaaHG,126479,,2023-03-15T10:25:03Z
18,Boy's a liar Pt. 2,"['PinkPantheress', 'Ice Spice']",95,spotify:track:6AQbmUe0Qwf5PZnt4HmTXv,131013,,2023-03-15T10:25:03Z
19,Parents,['Emma Steinbakken'],56,spotify:track:7y3ezRhAx4dtgmNpEGeMDA,164629,,2023-03-15T10:25:03Z
20,The Ballet Girl,['Aden Foyer'],69,spotify:track:3aiOu3VFNOD9omIGG7nSq1,201424,,2023-03-15T10:25:03Z
21,Creepin' (with The Weeknd & 21 Savage),"['Metro Boomin', 'The Weeknd', '21 Savage']",94,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,221520,,2023-03-15T10:25:03Z
22,MVH,['Synne Vo'],56,spotify:track:6MNo0OPFoQj37OV5EnOcPX,172973,,2023-03-15T10:25:03Z
23,Hald deg fast,['Rotlaus'],57,spotify:track:3RCG0v2Z1sDvZLYdFtAPbQ,201178,,2023-03-15T10:25:03Z
24,Another Love,['Tom Odell'],60,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,244360,,2023-03-15T10:25:03Z
25,10:35,"['Tiësto', 'Tate McRae']",88,spotify:track:6BePGk3eCan4FqaW2X8Qy3,172252,,2023-03-15T10:25:03Z
26,Miracle (with Ellie Goulding),"['Calvin Harris', 'Ellie Goulding']",76,spotify:track:5eTaQYBE1yrActixMAeLcZ,186496,,2023-03-15T10:25:03Z
27,"(Åh) Tåmy, Tåmy - Rifla x Sheriff","['Arif Murakami', 'Karpe']",58,spotify:track:6Wu2r3oKnrObZf8a18QVJH,190346,,2023-03-15T10:25:03Z
28,Escapism.,"['RAYE', '070 Shake']",79,spotify:track:5mHdCZtVyb4DcJw8799hZp,272373,,2023-03-15T10:25:03Z
29,For vår jord,"['Emma Steinbakken', 'Hver gang vi møtes']",61,spotify:track:1J6GFv4CtXFuG0Ip7e0OZt,156189,,2023-03-15T10:25:03Z
30,Calm Down (with Selena Gomez),"['Rema', 'Selena Gomez']",93,spotify:track:0WtM2NBVQNNJLh6scP13H8,239317,,2023-03-15T10:25:03Z
31,Dans På Bordet,"['Ballinciaga', 'David Mokel']",61,spotify:track:56kyGGwLIVAR30ZFiASn8Q,143520,,2023-03-15T10:25:03Z
32,Hopelessly Hopeless,"['Isah', 'Hver gang vi møtes']",62,spotify:track:7esGcqsNB1vSVAeVDfOW1c,195140,,2023-03-15T10:25:03Z
33,Lay Low,['Tiësto'],82,spotify:track:0zKbDrEXKpnExhGQRe9dxt,153442,,2023-03-15T10:25:03Z
34,How Do I Say Goodbye,['Dean Lewis'],75,spotify:track:1aOl53hkZGHkl2Snhr7opL,163603,,2023-03-15T10:25:03Z
35,Easier,['Ruben'],56,spotify:track:0yFecWYbAQnY8DJlHjp1K5,157655,,2023-03-15T10:25:03Z
36,Ekko inni meg,"['JONE', 'Silke']",66,spotify:track:0xbSjXWyD0M1ucTtKHPd2N,173142,,2023-03-15T10:25:03Z
37,Mother,['Meghan Trainor'],70,spotify:track:69ZzhvHnSSnzMO8SMYEJWb,147481,,2023-03-15T10:25:03Z
38,Call It Love,"['Felix Jaehn', 'Ray Dalton']",81,spotify:track:5YdnOm5990Kfq1Jodws98B,154560,,2023-03-15T10:25:03Z
39,As It Was,['Harry Styles'],90,spotify:track:4Dvkj6JhhA12EX05fT7y2e,167303,,2023-03-15T10:25:03Z
40,Saw It Coming,['Victoria Nadine'],59,spotify:track:6gecBiCMM6BBttZ4r9BOma,189714,,2023-03-15T10:25:03Z
41,River,['Miley Cyrus'],82,spotify:track:04CqLjewJiSAqM210vZAmT,162973,,2023-03-15T10:25:03Z
42,glorie,['vinni'],59,spotify:track:4olmG0sFJ6L0LVI8ssiZFz,156497,,2023-03-15T10:25:03Z
43,LAY LOW FREESTYLE,['Rambow'],45,spotify:track:2o6kn3zmDmMq8z8v2xl4Ig,134848,,2023-03-15T10:25:03Z
44,TYRTHOVEN,"['Beathoven', 'Tyr']",56,spotify:track:3jAx38SoSeeDCnaKLxTXrW,137258,,2023-03-15T10:25:03Z
45,Det eneste jeg vil er å ha det fett,"['Broiler', 'PandaPanda']",61,spotify:track:28mdpto16dpOw2vl5B4MWi,110847,,2023-03-15T10:25:03Z
46,If We Ever Broke Up,['Mae Stephens'],83,spotify:track:6maTPqynTmrkWIralgGaoP,142758,,2023-03-15T10:25:03Z
47,Skyfri himmel,"['Ringnes-Ronny', 'Stefaren']",51,spotify:track:4Envvj6OILfnlVUFGifGcT,172400,,2023-03-15T10:25:03Z
48,PAF.no,"['Karpe', 'Omar Sheriff']",59,spotify:track:2coLAzVouJE4BC8lrKbDLk,226706,,2023-03-15T10:25:03Z
49,Rom & Cola,"['Den BB', 'Hagle']",54,spotify:track:1GFZP2cT6C7nGmRzfX7VEY,132931,,2023-03-15T10:25:03Z
