,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature
1,0.491,0.844,7,-4.086,0,0.0798,0.0786,0.213,0.114,0.181,115.327,spotify:track:0LwySAnG15uQJgpf5GJei8,167521,4
2,0.767,0.826,0,-5.436,0,0.318,0.276,0.0,0.601,0.506,119.988,spotify:track:4SbIZ3ES6m0rwRX8QkEBet,132750,4
3,0.811,0.935,5,-2.933,0,0.04,0.0257,0.113,0.485,0.678,125.04,spotify:track:04ZYCl6A15ZhB0HkrjahCT,238105,4
4,0.677,0.829,11,-4.335,0,0.12,0.0513,4.05e-06,0.423,0.171,116.849,spotify:track:37TRcc1HCh76XMshdZBhEG,169615,4
5,0.756,0.686,3,-3.967,0,0.041,0.118,0.000329,0.0699,0.116,124.041,spotify:track:51MMyrwDHv6ePJxc0DAhep,203401,4
6,0.704,0.485,1,-7.964,0,0.0367,0.287,1.02e-06,0.0835,0.193,125.02,spotify:track:01x0cak5IMFoMd4kwEZzJ3,167080,4
7,0.723,0.727,4,-6.482,0,0.0485,0.0169,1.22e-05,0.177,0.212,121.006,spotify:track:6oI71tjOrLgJVIKXquolQM,182479,4
8,0.818,0.773,8,-5.714,0,0.0579,0.0166,7.64e-06,0.377,0.878,122.016,spotify:track:7GiozRoMk95aFl1WbrDdjX,143953,4
9,0.757,0.834,4,-4.362,0,0.0452,0.00428,0.000301,0.217,0.294,121.066,spotify:track:4c9Py6O1NeuYKbJ8Ok7mTl,146500,4
10,0.703,0.461,5,-10.581,0,0.034,0.4,0.000104,0.114,0.39,99.941,spotify:track:4fJBUcEiRtPI99EHO6WtrR,187919,4
11,0.636,0.822,0,-4.321,0,0.0507,0.0534,1.99e-05,0.121,0.338,127.225,spotify:track:63bWXWGcWnRQvdS8bJWdkB,147402,4
12,0.65,0.756,2,-4.789,0,0.309,0.0538,0.000345,0.372,0.445,126.157,spotify:track:7BJvauk2ddcxirw5px8Wfa,148715,4
13,0.747,0.729,4,-6.403,0,0.0723,0.0663,0.0,0.091,0.401,124.947,spotify:track:5loRP4QvXxmR1hPksdoVXU,219119,4
14,0.714,0.902,5,-5.651,0,0.0488,0.129,0.000389,0.0994,0.12,122.038,spotify:track:7JiBmwjEv3ZjqwNExcQo5D,149508,4
15,0.752,0.744,5,-5.403,0,0.0448,0.0465,0.00109,0.0841,0.605,123.027,spotify:track:5lWnWXyvri9Hc8uJ62aZa6,159146,4
16,0.667,0.823,7,-3.797,1,0.0673,0.0607,0.0,0.0771,0.35,127.903,spotify:track:5LOJdJPzuevskkoAtLj8hb,168726,4
17,0.505,0.735,4,-6.223,0,0.0405,0.273,0.358,0.172,0.191,118.025,spotify:track:1qMak6TgZIdfcCzuGIAZyU,184068,4
18,0.578,0.85,0,-6.925,0,0.138,0.105,0.0393,0.109,0.191,126.0,spotify:track:1nKUqpHuLUQnxEVmmBOI4E,154286,4
19,0.576,0.73,4,-8.788,0,0.0824,0.123,0.0,0.316,0.164,125.937,spotify:track:2JlIgHTECXRBQs9kb7KXKG,175952,4
20,0.88,0.751,7,-4.258,0,0.0874,0.177,6.43e-05,0.106,0.884,117.948,spotify:track:2tnVG71enUj33Ic2nFN6kZ,157606,4
21,0.746,0.788,0,-5.156,0,0.0804,0.217,1.78e-05,0.356,0.589,106.005,spotify:track:7eEhJ5vbP9tVyF5leRaDm4,147000,4
22,0.761,0.753,5,-3.394,0,0.0414,0.145,0.0,0.0543,0.299,126.016,spotify:track:2YDMh4yke7vi6VaoHQQfpK,202381,4
